issuer_name,deal_short_name,as_of_date,cnl_rate,cnl_expected_base_case_closing,cnl_base_case_projection_closing,cnl_base_case_projection_current
Octane,OCTL 2021-1,07/11/2025,0.0456605,0.06161024493802624,0.062,0.05
Octane,OCTL 2021-2,07/11/2025,0.0579422,0.0567236989546014,0.05803237817429701,0.0625
Octane,OCTL 2022-1,07/11/2025,0.0638528,0.05251298937194263,0.0555,0.0725
Octane,OCTL 2022-2,07/11/2025,0.0651752,0.051568153865358374,0.05553750603786896,0.0775
Octane,OCTL 2023-1,07/11/2025,0.0546823,0.04533624443160042,0.05254560969696308,0.0725
Octane,OCTL 2023-2,07/11/2025,0.0526596,0.051363945401207395,0.06252481453859562,0.07
Octane,OCTL 2023-3,07/11/2025,0.0385889,0.04022238058544131,0.0535460586425871,0.0535
Octane,OCTL 2024-1,07/11/2025,0.0227473,0.020863122751592657,0.043,0.043
Octane,OCTL 2024-2,07/11/2025,0.0153762,0.015049741359323503,0.0450451034744598,0.045
Octane,OCTL 2024-3,07/11/2025,0.0073989,0.006625194879962855,0.03423254895071897,0.0342
Carvana,CRVNA 2020-P1,07/11/2025,0.0148757,0.01969784546376826,0.021,0.016
Carvana,CRVNA 2021-P1,07/11/2025,0.0143128,0.01910023553960016,0.0215,0.016
Carvana,CRVNA 2021-P2,07/11/2025,0.0158612,0.017555479943343694,0.0205,0.018
Carvana,CRVNA 2021-P3,07/11/2025,0.0210459,0.01738950086154367,0.0205,0.024
Carvana,CRVNA 2021-P4,07/11/2025,0.021799,0.0163824121487566,0.020499999999999997,0.026
Carvana,CRVNA 2022-P1,07/11/2025,0.0224684,0.016189456931907396,0.021,0.0285
Carvana,CRVNA 2022-P2,07/11/2025,0.0254093,0.015791786991638,0.022,0.0325
Carvana,CRVNA 2022-P3,07/11/2025,0.0268303,0.014413310724283647,0.0225,0.0365
Carvana,CRVNA 2023-P1,07/11/2025,0.023769,0.012015011549067003,0.022500000000275012,0.0375
Carvana,CRVNA 2023-P2,07/11/2025,0.0248209,0.01134690870565843,0.023,0.04
Carvana,CRVNA 2023-P3,07/11/2025,0.0233848,0.009132170618999999,0.0215,0.0415
Carvana,CRVNA 2023-P4,07/11/2025,0.0167879,0.007759128518793947,0.02099999999999999,0.0375
Carvana,CRVNA 2023-P5,07/11/2025,0.0112516,0.0064786567451070014,0.0215,0.0335
Carvana,CRVNA 2024-P1,07/11/2025,0.007614,0.005408122741365465,0.024,0.0325
Carvana,CRVNA 2024-P2,07/11/2025,0.0049568,0.004521686428976155,0.028300000000000002,0.03
