issuer_name,deal_short_name,as_of_date,wa_interest_rate_closing,wa_interest_rate_current,wa_remaining_term_current
Octane,OCTL 2021-1,7/11/2025,0.1195,0.11514,23
Octane,OCTL 2021-2,7/11/2025,0.1213,0.1177,28
Octane,OCTL 2022-1,7/11/2025,0.1225,0.12055,34
Octane,OCTL 2022-2,7/11/2025,0.1238,0.12291,37
Octane,OCTL 2023-1,7/11/2025,0.1308,0.13057,42
Octane,OCTL 2023-2,7/11/2025,0.1451,0.14516,45
Octane,OCTL 2023-3,7/11/2025,0.1398,0.14035,46
Octane,OCTL 2024-1,7/11/2025,0.124,0.12479,51
Octane,OCTL 2024-2,7/11/2025,0.1241,0.12425,55
Octane,OCTL 2024-3,7/11/2025,0.104,0.10356,57
Carvana,CRVNA 2020-P1,7/11/2025,0.081985307,0.0836969,18
Carvana,CRVNA 2021-P1,7/11/2025,0.0819,0.0844081,22
Carvana,CRVNA 2021-P2,7/11/2025,0.0797,0.0812438,25
Carvana,CRVNA 2021-P3,7/11/2025,0.0747,0.0751475,29
Carvana,CRVNA 2021-P4,7/11/2025,0.0807,0.0821248,31
Carvana,CRVNA 2022-P1,7/11/2025,0.0762,0.076819,34
Carvana,CRVNA 2022-P2,7/11/2025,0.0909,0.0925311,37
Carvana,CRVNA 2022-P3,7/11/2025,0.1027,0.1040019,41
Carvana,CRVNA 2023-P1,7/11/2025,0.1183,0.1201918,46
Carvana,CRVNA 2023-P2,7/11/2025,0.1274,0.1298499,48
Carvana,CRVNA 2023-P3,7/11/2025,0.1303,0.1320457,51
Carvana,CRVNA 2023-P4,7/11/2025,0.1311,0.1329071,53
Carvana,CRVNA 2023-P5,7/11/2025,0.1295,0.1315212,56
Carvana,CRVNA 2024-P1,7/11/2025,0.1305,0.1321784,59
Carvana,CRVNA 2024-P2,7/11/2025,0.1361,0.1383945,62
