issuer_name,deal_short_name,as_of_date,kbra_subsector,securitization_date,prior_action_date,distribution_date,months_seasoned,original_collateral_balance,current_collateral_balance,pool_factor,current_num_receivables
Octane,MFT 2021-1,07/12/2025,Prime - Consumer Loan,05/05/2021,11/06/2024,04/01/2025,47.0,271033.47661,7226.4265700000005,0.026662487086044982,1645.0
Octane,MFT 2021-2,07/12/2025,Prime - Consumer Loan,07/15/2021,11/06/2024,04/01/2025,44.0,277202.52433999995,11602.979449999999,0.04185740904642153,2058.0
Octane,MFT 2021-3,07/12/2025,Prime - Consumer Loan,10/22/2021,11/06/2024,04/01/2025,41.0,351605.14038,25232.8194,0.07176464875550294,3449.0
Octane,MFT 2022-1,07/12/2025,Prime - Consumer Loan,02/17/2022,11/06/2024,04/01/2025,37.0,350107.46201,38209.42085,0.10913626527876928,4560.0
Octane,MFT 2022-2,07/12/2025,Prime - Consumer Loan,07/06/2022,11/06/2024,04/01/2025,33.0,311449.0271,43209.69685,0.13873762025310882,5261.0
Octane,MFT 2022-3,07/12/2025,Prime - Consumer Loan,09/19/2022,11/06/2024,04/01/2025,30.0,451563.72447,85612.67473999999,0.1895915683671967,10335.0
Octane,MFT 2023-1,07/12/2025,Prime - Consumer Loan,03/02/2023,11/06/2024,04/01/2025,25.0,498961.80452999996,132115.78105,0.2647813516997503,14209.0
Octane,MFT 2023-2,07/12/2025,Prime - Consumer Loan,05/02/2023,11/06/2024,04/01/2025,23.0,480218.07299,148251.79046000002,0.30871764058552453,13735.0
Octane,MFT 2023-3,07/12/2025,Prime - Consumer Loan,07/20/2023,11/06/2024,04/01/2025,20.0,423040.46658999997,155827.46578,0.3683512053494022,12850.0
Octane,MFT 2023-4,07/12/2025,Prime - Consumer Loan,10/26/2023,11/06/2024,04/01/2025,17.0,473378.80501999997,208699.57778,0.44087224769428063,16168.0
Octane,MFT 2024-1,07/12/2025,Prime - Consumer Loan,05/30/2024,05/30/2024,04/01/2025,10.0,373621.63973,222801.58945,0.5963294567493708,15787.0
Carvana,CRVNA 2020-P1,07/12/2025,Prime - Auto Loan,12/10/2020,12/06/2024,05/01/2025,53.0,405000.00011,36717.47122,0.09066042274080828,6755.0
Carvana,CRVNA 2021-P1,07/12/2025,Prime - Auto Loan,03/18/2021,12/06/2024,05/01/2025,50.0,415000.00142000004,49221.8954,0.11860697646163396,7816.0
Carvana,CRVNA 2021-P2,07/12/2025,Prime - Auto Loan,06/24/2021,12/06/2024,05/01/2025,47.0,775000.00249,123236.94853,0.15901541694716337,14985.0
Carvana,CRVNA 2021-P3,07/12/2025,Prime - Auto Loan,09/29/2021,12/06/2024,05/01/2025,44.0,1035000.0004199999,210781.32886,0.20365345775310684,21115.0
Carvana,CRVNA 2021-P4,07/12/2025,Prime - Auto Loan,12/29/2021,12/06/2024,05/01/2025,41.0,1055000.00079,245429.07552,0.2326341946314872,21801.0
Carvana,CRVNA 2022-P1,07/12/2025,Prime - Auto Loan,03/30/2022,12/06/2024,05/01/2025,38.0,1039515.05084,296428.39607,0.2851602733702272,22667.0
Carvana,CRVNA 2022-P2,07/12/2025,Prime - Auto Loan,05/25/2022,12/06/2024,05/01/2025,36.0,605000.00009,185780.77380000002,0.3070756591278731,13917.0
Carvana,CRVNA 2022-P3,07/12/2025,Prime - Auto Loan,09/08/2022,12/06/2024,05/01/2025,32.0,364000.00077,132645.83482,0.36441163335000837,9180.0
Carvana,CRVNA 2023-P1,07/12/2025,Prime - Auto Loan,02/23/2023,12/06/2024,05/01/2025,27.0,363247.95925,157679.11046,0.4340812011320336,9864.0
Carvana,CRVNA 2023-P2,07/12/2025,Prime - Auto Loan,05/31/2023,12/06/2024,05/01/2025,24.0,412771.94725,199679.37339,0.48375228675378446,11888.0
Carvana,CRVNA 2023-P3,07/12/2025,Prime - Auto Loan,08/15/2023,12/06/2024,05/01/2025,21.0,310318.83726999996,169926.66389,0.5475873310976331,9139.0
Carvana,CRVNA 2023-P4,07/12/2025,Prime - Auto Loan,09/26/2023,12/06/2024,05/01/2025,20.0,237631.82061000002,132432.08821,0.557299472225762,7000.0
Carvana,CRVNA 2023-P5,07/12/2025,Prime - Auto Loan,12/19/2023,12/06/2024,05/01/2025,17.0,212972.29888999998,129543.69567,0.6082654708860011,6680.0
Carvana,CRVNA 2024-P1,07/12/2025,Prime - Auto Loan,03/19/2024,12/06/2024,05/01/2025,14.0,394060.25749,259341.30002000002,0.6581259974601252,12742.0
Carvana,CRVNA 2024-P2,07/12/2025,Prime - Auto Loan,06/12/2024,06/12/2024,05/01/2025,11.0,507210.89813,349716.00639,0.6894883522403467,16523.0
