issuer_name,deal_short_name,as_of_date,metric_type,period_offset,metric_value
Octane,OCTL 2021-1,07/11/2025,30+DQ,T0,0.0461977
Octane,OCTL 2021-1,07/11/2025,30+DQ,T-3,0.0442075
Octane,OCTL 2021-1,07/11/2025,30+DQ,T-6,0.0434831
Octane,OCTL 2021-1,07/11/2025,30+DQ,T-9,0.0396341
Octane,OCTL 2021-1,07/11/2025,30+DQ,T-12,0.0350811
Octane,OCTL 2021-1,07/11/2025,60+DQ,T0,0.012244
Octane,OCTL 2021-1,07/11/2025,60+DQ,T-3,0.0170939
Octane,OCTL 2021-1,07/11/2025,60+DQ,T-6,0.0166638
Octane,OCTL 2021-1,07/11/2025,60+DQ,T-9,0.0111796
Octane,OCTL 2021-1,07/11/2025,60+DQ,T-12,0.0093673
Octane,OCTL 2021-1,07/11/2025,90+DQ,T0,0.0044055
Octane,OCTL 2021-1,07/11/2025,90+DQ,T-3,0.0069557
Octane,OCTL 2021-1,07/11/2025,90+DQ,T-6,0.0069888
Octane,OCTL 2021-1,07/11/2025,90+DQ,T-9,0.0040364
Octane,OCTL 2021-1,07/11/2025,90+DQ,T-12,0.0031676
Octane,OCTL 2021-1,07/11/2025,Extensions,T0,0.0072
Octane,OCTL 2021-1,07/11/2025,Extensions,T-3,0.0104
Octane,OCTL 2021-1,07/11/2025,Extensions,T-6,0.009
Octane,OCTL 2021-1,07/11/2025,Extensions,T-9,0.0065
Octane,OCTL 2021-1,07/11/2025,Extensions,T-12,0.0037
Octane,OCTL 2021-2,07/11/2025,30+DQ,T0,0.0422724
Octane,OCTL 2021-2,07/11/2025,30+DQ,T-3,0.0502128
Octane,OCTL 2021-2,07/11/2025,30+DQ,T-6,0.0399452
Octane,OCTL 2021-2,07/11/2025,30+DQ,T-9,0.0423408
Octane,OCTL 2021-2,07/11/2025,30+DQ,T-12,0.0317126
Octane,OCTL 2021-2,07/11/2025,60+DQ,T0,0.0137018
Octane,OCTL 2021-2,07/11/2025,60+DQ,T-3,0.0220136
Octane,OCTL 2021-2,07/11/2025,60+DQ,T-6,0.012844
Octane,OCTL 2021-2,07/11/2025,60+DQ,T-9,0.0124649
Octane,OCTL 2021-2,07/11/2025,60+DQ,T-12,0.009051
Octane,OCTL 2021-2,07/11/2025,90+DQ,T0,0.0046413
Octane,OCTL 2021-2,07/11/2025,90+DQ,T-3,0.0089634
Octane,OCTL 2021-2,07/11/2025,90+DQ,T-6,0.0054734
Octane,OCTL 2021-2,07/11/2025,90+DQ,T-9,0.0054559
Octane,OCTL 2021-2,07/11/2025,90+DQ,T-12,0.0034121
Octane,OCTL 2021-2,07/11/2025,Extensions,T0,0.0072
Octane,OCTL 2021-2,07/11/2025,Extensions,T-3,0.0102
Octane,OCTL 2021-2,07/11/2025,Extensions,T-6,0.0112
Octane,OCTL 2021-2,07/11/2025,Extensions,T-9,0.0066
Octane,OCTL 2021-2,07/11/2025,Extensions,T-12,0.0045
Octane,OCTL 2022-1,07/11/2025,30+DQ,T0,0.035466
Octane,OCTL 2022-1,07/11/2025,30+DQ,T-3,0.0408821
Octane,OCTL 2022-1,07/11/2025,30+DQ,T-6,0.0367524
Octane,OCTL 2022-1,07/11/2025,30+DQ,T-9,0.0420931
Octane,OCTL 2022-1,07/11/2025,30+DQ,T-12,0.0270024
Octane,OCTL 2022-1,07/11/2025,60+DQ,T0,0.0123307
Octane,OCTL 2022-1,07/11/2025,60+DQ,T-3,0.0150424
Octane,OCTL 2022-1,07/11/2025,60+DQ,T-6,0.0126951
Octane,OCTL 2022-1,07/11/2025,60+DQ,T-9,0.0151545
Octane,OCTL 2022-1,07/11/2025,60+DQ,T-12,0.0083555
Octane,OCTL 2022-1,07/11/2025,90+DQ,T0,0.0053904
Octane,OCTL 2022-1,07/11/2025,90+DQ,T-3,0.0053649
Octane,OCTL 2022-1,07/11/2025,90+DQ,T-6,0.0049958
Octane,OCTL 2022-1,07/11/2025,90+DQ,T-9,0.006864
Octane,OCTL 2022-1,07/11/2025,90+DQ,T-12,0.0032631
Octane,OCTL 2022-1,07/11/2025,Extensions,T0,0.0071
Octane,OCTL 2022-1,07/11/2025,Extensions,T-3,0.0104
Octane,OCTL 2022-1,07/11/2025,Extensions,T-6,0.0116
Octane,OCTL 2022-1,07/11/2025,Extensions,T-9,0.0058
Octane,OCTL 2022-1,07/11/2025,Extensions,T-12,0.0047
Octane,OCTL 2022-2,07/11/2025,30+DQ,T0,0.0327877
Octane,OCTL 2022-2,07/11/2025,30+DQ,T-3,0.0415905
Octane,OCTL 2022-2,07/11/2025,30+DQ,T-6,0.0409991
