issuer_name,deal_short_name,as_of_date,metric_type,stat_type,stat_value
Octane,OCTL 2021-1,07/11/2025,30+DQ,max,0.0550345
Octane,OCTL 2021-1,07/11/2025,30+DQ,min,0.0368429
Octane,OCTL 2021-1,07/11/2025,30+DQ,avg,0.04400921666666666
Octane,OCTL 2021-1,07/11/2025,60+DQ,max,0.0170939
Octane,OCTL 2021-1,07/11/2025,60+DQ,min,0.0111796
Octane,OCTL 2021-1,07/11/2025,60+DQ,avg,0.0137482
Octane,OCTL 2021-1,07/11/2025,90+DQ,max,0.0076799
Octane,OCTL 2021-1,07/11/2025,90+DQ,min,0.0035861
Octane,OCTL 2021-1,07/11/2025,90+DQ,avg,0.005482683333333333
Octane,OCTL 2021-1,07/11/2025,Extensions,max,0.0107
Octane,OCTL 2021-1,07/11/2025,Extensions,min,0.0043
Octane,OCTL 2021-1,07/11/2025,Extensions,avg,0.007266666666666665
Octane,OCTL 2021-2,07/11/2025,30+DQ,max,0.0522223
Octane,OCTL 2021-2,07/11/2025,30+DQ,min,0.033873
Octane,OCTL 2021-2,07/11/2025,30+DQ,avg,0.04267096666666667
Octane,OCTL 2021-2,07/11/2025,60+DQ,max,0.0220136
Octane,OCTL 2021-2,07/11/2025,60+DQ,min,0.0099302
Octane,OCTL 2021-2,07/11/2025,60+DQ,avg,0.015070025
Octane,OCTL 2021-2,07/11/2025,90+DQ,max,0.0089634
Octane,OCTL 2021-2,07/11/2025,90+DQ,min,0.0033599
Octane,OCTL 2021-2,07/11/2025,90+DQ,avg,0.005886350000000001
Octane,OCTL 2021-2,07/11/2025,Extensions,max,0.0112
Octane,OCTL 2021-2,07/11/2025,Extensions,min,0.0025
Octane,OCTL 2021-2,07/11/2025,Extensions,avg,0.007324999999999999
Octane,OCTL 2022-1,07/11/2025,30+DQ,max,0.0455782
Octane,OCTL 2022-1,07/11/2025,30+DQ,min,0.0311829
Octane,OCTL 2022-1,07/11/2025,30+DQ,avg,0.03794515
Octane,OCTL 2022-1,07/11/2025,60+DQ,max,0.015623
Octane,OCTL 2022-1,07/11/2025,60+DQ,min,0.0093419
Octane,OCTL 2022-1,07/11/2025,60+DQ,avg,0.013520308333333335
Octane,OCTL 2022-1,07/11/2025,90+DQ,max,0.006864
Octane,OCTL 2022-1,07/11/2025,90+DQ,min,0.0036702
Octane,OCTL 2022-1,07/11/2025,90+DQ,avg,0.0052486166666666665
Octane,OCTL 2022-1,07/11/2025,Extensions,max,0.0116
Octane,OCTL 2022-1,07/11/2025,Extensions,min,0.0038
Octane,OCTL 2022-1,07/11/2025,Extensions,avg,0.007583333333333333
Octane,OCTL 2022-2,07/11/2025,30+DQ,max,0.047837
Octane,OCTL 2022-2,07/11/2025,30+DQ,min,0.0290071
Octane,OCTL 2022-2,07/11/2025,30+DQ,avg,0.03763112500000001
Octane,OCTL 2022-2,07/11/2025,60+DQ,max,0.0177579
Octane,OCTL 2022-2,07/11/2025,60+DQ,min,0.0092208
Octane,OCTL 2022-2,07/11/2025,60+DQ,avg,0.01374840833333333
Octane,OCTL 2022-2,07/11/2025,90+DQ,max,0.0072854
Octane,OCTL 2022-2,07/11/2025,90+DQ,min,0.0032838
Octane,OCTL 2022-2,07/11/2025,90+DQ,avg,0.005458525
Octane,OCTL 2022-2,07/11/2025,Extensions,max,0.0137
Octane,OCTL 2022-2,07/11/2025,Extensions,min,0.0031
