issuer_name,deal_short_name,as_of_date,trigger_cnl_trigger_level,trigger_current_trigger_breach,trigger_trigger_cushion
Octane,OCTL 2021-1,07/11/2025,,N/A,N/A
Octane,OCTL 2021-2,07/11/2025,,N/A,N/A
Octane,OCTL 2022-1,07/11/2025,,N/A,N/A
Octane,OCTL 2022-2,07/11/2025,,N/A,N/A
Octane,OCTL 2023-1,07/11/2025,,N/A,N/A
Octane,OCTL 2023-2,07/11/2025,,N/A,N/A
Octane,OCTL 2023-3,07/11/2025,,N/A,N/A
Octane,OCTL 2024-1,07/11/2025,,N/A,N/A
Octane,OCTL 2024-2,07/11/2025,,N/A,N/A
Octane,OCTL 2024-3,07/11/2025,,N/A,N/A
Carvana,CRVNA 2020-P1,07/11/2025,,N/A,N/A
Carvana,CRVNA 2021-P1,07/11/2025,,N/A,N/A
Carvana,CRVNA 2021-P2,07/11/2025,,N/A,N/A
Carvana,CRVNA 2021-P3,07/11/2025,,N/A,N/A
Carvana,CRVNA 2021-P4,07/11/2025,,N/A,N/A
Carvana,CRVNA 2022-P1,07/11/2025,,N/A,N/A
Carvana,CRVNA 2022-P2,07/11/2025,,N/A,N/A
Carvana,CRVNA 2022-P3,07/11/2025,,N/A,N/A
Carvana,CRVNA 2023-P1,07/11/2025,,N/A,N/A
Carvana,CRVNA 2023-P2,07/11/2025,,N/A,N/A
Carvana,CRVNA 2023-P3,07/11/2025,,N/A,N/A
Carvana,CRVNA 2023-P4,07/11/2025,,N/A,N/A
Carvana,CRVNA 2023-P5,07/11/2025,,N/A,N/A
Carvana,CRVNA 2024-P1,07/11/2025,,N/A,N/A
Carvana,CRVNA 2024-P2,07/11/2025,,N/A,N/A
